EmployeeID,Data,Injected,Detected,Classification,BaselineEntry,BaselineExit,Entrada,Saida,DeltaEntrada,DeltaSaida
E1001,2025-04-24,True,False,FN,516.7666666666667,1046.3,08:50:00,17:10:00,,
E1002,2025-05-29,True,False,FN,507.6666666666667,1015.7666666666667,08:22:00,17:25:00,,
E1002,2025-08-27,True,False,FN,507.6666666666667,1015.7666666666667,08:30:00,17:20:00,,
E1002,2025-09-11,True,False,FN,507.6666666666667,1015.7666666666667,08:46:00,16:30:00,,
E1002,2025-09-16,True,False,FN,507.6666666666667,1015.7666666666667,08:39:00,17:25:00,,
E1003,2025-02-24,True,False,FN,507.93333333333334,1049.2,08:01:00,17:12:00,,
E1003,2025-03-24,True,False,FN,507.93333333333334,1049.2,08:27:00,17:56:00,,
E1004,2025-03-13,True,False,FN,524.9,1042.9666666666667,08:43:00,17:50:00,,
E1004,2025-05-23,True,False,FN,524.9,1042.9666666666667,08:40:00,17:02:00,,
E1004,2025-06-11,True,False,FN,524.9,1042.9666666666667,08:42:00,17:50:00,,
E1005,2025-05-21,False,True,FP,531.0333333333333,1045.2,09:23:00,17:36:00,31.0,10.0
E1005,2025-07-03,False,True,FP,531.0333333333333,1045.2,08:59:00,16:55:00,7.0,-30.0
E1006,2025-05-21,False,True,FP,528.4333333333333,1050.2666666666667,09:21:00,17:40:00,32.0,9.0
E1006,2025-07-08,True,False,FN,528.4333333333333,1050.2666666666667,09:03:00,17:57:00,,
E1007,2025-05-05,True,False,FN,524.7333333333333,1064.0,08:32:00,17:19:00,,
E1007,2025-05-07,True,False,FN,524.7333333333333,1064.0,08:17:00,18:02:00,,
E1007,2025-09-05,False,True,FP,524.7333333333333,1064.0,08:10:00,17:46:00,-34.0,2.0
E1008,2025-03-05,False,True,FP,511.6333333333333,1053.7,08:43:00,17:00:00,11.0,-33.0
E1008,2025-03-26,True,False,FN,511.6333333333333,1053.7,08:10:00,17:46:00,,
E1008,2025-03-28,False,True,FP,511.6333333333333,1053.7,09:03:00,17:20:00,31.0,-13.0
E1008,2025-05-02,True,False,FN,511.6333333333333,1053.7,08:36:00,18:03:00,,
E1008,2025-05-13,False,True,FP,511.6333333333333,1053.7,08:52:00,18:04:00,20.0,30.0
E1008,2025-05-30,True,False,FN,511.6333333333333,1053.7,08:34:00,17:11:00,,
E1008,2025-07-16,True,False,FN,511.6333333333333,1053.7,08:12:00,17:13:00,,
E1008,2025-09-05,False,True,FP,511.6333333333333,1053.7,09:04:00,17:43:00,32.0,9.0
E1008,2025-09-09,True,False,FN,511.6333333333333,1053.7,08:58:00,17:33:00,,
E1009,2025-05-20,True,False,FN,518.1,1038.4,08:49:00,17:02:00,,
E1009,2025-05-23,True,False,FN,518.1,1038.4,08:50:00,17:45:00,,
E1010,2025-02-14,True,False,FN,527.3,1047.1,09:16:00,17:17:00,,
E1010,2025-04-04,True,False,FN,527.3,1047.1,08:33:00,17:29:00,,
E1010,2025-09-29,False,True,FP,527.3,1047.1,09:03:00,18:01:00,15.0,33.0
E1011,2025-02-20,True,False,FN,524.6,1044.4333333333334,08:19:00,17:23:00,,
E1011,2025-03-14,False,True,FP,524.6,1044.4333333333334,09:18:00,17:34:00,33.0,9.0
E1011,2025-04-11,True,False,FN,524.6,1044.4333333333334,09:10:00,17:30:00,,
E1011,2025-09-11,True,False,FN,524.6,1044.4333333333334,09:14:00,17:23:00,,
E1012,2025-03-14,True,False,FN,527.9,1045.6333333333334,09:17:00,17:26:00,,
E1012,2025-05-13,True,False,FN,527.9,1045.6333333333334,08:43:00,17:46:00,,
E1012,2025-09-12,True,False,FN,527.9,1045.6333333333334,09:15:00,17:17:00,,
E1013,2025-02-20,False,True,FP,506.46666666666664,1031.8666666666666,09:01:00,17:07:00,34.0,-4.0
E1013,2025-03-28,False,True,FP,506.46666666666664,1031.8666666666666,08:17:00,16:38:00,-9.0,-33.0
E1013,2025-06-18,True,False,FN,506.46666666666664,1031.8666666666666,08:20:00,16:42:00,,
E1013,2025-08-06,True,False,FN,506.46666666666664,1031.8666666666666,08:09:00,17:13:00,,
E1013,2025-08-26,True,False,FN,506.46666666666664,1031.8666666666666,08:54:00,17:22:00,,
E1014,2025-03-19,True,False,FN,519.6666666666666,1046.9,08:43:00,17:55:00,,
E1015,2025-04-11,True,False,FN,510.73333333333335,1042.1,08:44:00,16:54:00,,
E1015,2025-04-25,True,False,FN,510.73333333333335,1042.1,08:01:00,17:06:00,,
